mode,path_name,entry_or_scheduler,candidate_evaluator,direct_event_source,current_state,order_effect,notes
REAL,real_dashboard_live_slots,"cron -> scripts/live_candidate_slots_guard.sh -> data/_system/ops/live_candidate_slots.py:346-418",engine/live/elite_shadow_trader.py::evaluate_candidate,elite_shadow_trader._event_flags(ctx),ON,UPSTREAM_MANUAL_BUY_CANDIDATE,"1분 daemon이 should_buy 후보를 만들며 broker 주문은 하지 않음"
REAL,real_dashboard_export,"scripts/export_real_dashboard_buy_candidates.py:434-505",engine/live/elite_shadow_trader.py::evaluate_candidate,elite_shadow_trader._event_flags(ctx),ON,UPSTREAM_MANUAL_BUY_CANDIDATE,"live_slots 후보를 full rulebook으로 다시 평가; 동일 direct Event 재검증"
REAL,real_dashboard_manual_buy,"engine/live/real_dashboard_api.py:633-710",no score reevaluation,exported candidate inherited,INHERITED,MANUAL_OR_DIRECT_INTENT,"Event 영향은 export/live_slots의 후보 포함 여부에 이미 반영됨"
REAL,s2_auto_order_validation,"engine/live/s2_auto_trader.py:313-329 and 345-369",engine/live/elite_shadow_trader.py::evaluate_candidate,elite_shadow_trader._event_flags(ctx),ON,POSSIBLE_REAL_ORDER,"기본 fail-closed지만 gate 활성 시 주문 계획 직전 다시 평가"
REAL_OR_VTS,general_runner_scan,"scripts/run_live.py -> Runner.tick_market -> engine/live/runner.py:496-509",engine/strategies/learned_rulebook.py::evaluate,learned_rulebook local active_events conversion,ON,LEGACY_BUY_BLOCKED_CURRENTLY,"real/live/vts 모두 동일 Runner; install_legacy_buy_guard가 신규 BUY 차단"
REAL_OR_VTS,add_buy_reevaluation,"engine/live/runner.py:725-746",engine/strategies/learned_rulebook.py::evaluate,learned_rulebook local active_events conversion,ON,CONDITIONAL_ADD_BUY,"승인 재평가 경로; 별도 add-buy enable 조건"
REAL_OR_VTS,position_reconfirm,"engine/live/runner.py:756-778",engine/strategies/learned_rulebook.py::evaluate,learned_rulebook local active_events conversion,ON,CONDITIONAL_RECONFIRM,"기본 approval workflow 비활성일 수 있으나 코드상 direct Event 사용"
REAL_OR_VTS,telegram_probability,"engine/live/telegram/bot.py:371-379",engine/strategies/learned_rulebook.py::evaluate,learned_rulebook local active_events conversion,ON,DISPLAY_DECISION_SUPPORT,"주문 후보가 아니라 보유 확률 보조값"
PAPER,general_runner_scan,"scripts/run_live.py --mode paper/alpaca_paper -> Runner.tick_market",engine/strategies/learned_rulebook.py::evaluate,learned_rulebook local active_events conversion,ON,LEGACY_BUY_BLOCKED_CURRENTLY,"paper와 alpaca_paper가 real과 같은 일반 Runner 평가 공유"
PAPER,next_open_selection,"NextOpenBuyCoordinator.prepare_if_due -> scheduled_open_buy_queue.py:375-417",point-in-time evaluate_signal,explicit use_llm_events=False,OFF,CURRENT_AUTOMATED_BUY_PATH,"D-1 market_history 기반; live MarketContext direct Event를 쓰지 않음"
PAPER,central_intraday_code,"LiveCentralController.tick_market -> central_control.py:319-610",central_control direct evaluate_signal,central_control local active_events conversion,ON_IF_CALLED,DORMANT,"run_live가 controller를 생성하지만 runner.tick_market을 controller.tick_market으로 치환하지 않음; 현재 scheduler 연결 미발견"
VIRTUAL,elite_shadow,"run_shadow_tick -> elite_shadow_trader.py:729-803",elite_shadow_trader.evaluate_candidate,elite_shadow_trader._event_flags(ctx),ON,VIRTUAL_POSITION_LEDGER,"가상 포지션 진입 후보"
VIRTUAL,elite_strategy_sim,"run_strategy_sim_tick -> elite_strategy_sim.py:421-483",elite_shadow_trader.evaluate_candidate,elite_shadow_trader._event_flags(ctx),ON,VIRTUAL_STRATEGY_LEDGER,"전략별 가상 포지션 진입"
VIRTUAL,elite_signal_history,"elite_signal_history.py:120-143",direct evaluate_signal,imported elite_shadow_trader._event_flags(ctx),ON,DIAGNOSTIC_AND_SIM_GATE,"현재 ctx를 과거 slice 전체에 적용"
VIRTUAL,elite_pullback_replay,"elite_pullback_replay.py:327-362",direct evaluate_signal,imported elite_shadow_trader._event_flags(ctx),ON,REPLAY_ONLY,"현재 ctx Event를 replay 기간 전체에 고정 적용"
VIRTUAL,s2_auto_dry_run,"run_s2_auto_live.py plan-dry-run/tick default",elite_shadow_trader.evaluate_candidate,elite_shadow_trader._event_flags(ctx),ON,NO_ORDER_DEFAULT,"실주문과 동일 재검증 코드를 dry-run에서 사용"
VIRTUAL,central_backtester,"engine/central/signal_collector.py:205-240",evaluate_signal via lagged helper,use_llm_events constructor default false,OFF,RESEARCH_BACKTEST,"current active_events 변환 경로가 아님"
