comparison_id,dimension,path_filter,path_filter_hold3,range_predictor_f354304,assessment,status
C-001,Primary representation,"5-day path summarized into compact shape statistics","identical feature set","5 daily lags expanded into raw returns/range/gap/volume plus Stage2 component vectors",Path filter is compact/interpretable; range predictor is high-dimensional,CONFIRMED
C-002,OHLCV requirement,"D-6 Close plus D-5..D-1 High/Low/Close; Volume not used in core path5","same","D-6..D-1 OHLCV plus 20-day baselines; D-1 technical indicators",Range predictor requires materially more history and columns,CONFIRMED
C-003,Five-day high/low position,"high5 low5 close_pos5 pullback days_since_high","same","STK_range_pos5 plus per-day ranges and D1 candle position",Both capture location; path filter is direct,CONFIRMED
C-004,Daily trajectory,"five close-to-close returns, up/down counts, recent turn-down, fade score","same","separate lag1..5 ccret intraday range gap and Stage2 component values",Range predictor preserves more temporal detail,CONFIRMED
C-005,Volume,"not used in core path5","same","lag1..5 volratio20, D1 volratio5/10, volume changes",Range predictor can detect volume-backed jumps; path filter cannot,CONFIRMED
C-006,Candle morphology,"indirect through close returns/high-low position","same","D1 body/wicks, body-to-range, inside/outside, break flags",Range predictor is richer for one-day jump setup,CONFIRMED
C-007,Technical indicators,"only auxiliary signal_age uses MA5/MACD/Aligned_bull","same","MA alignment, MACD, RSI zone, Bollinger position, volume surge for each lag plus D1 raw indicators",Range predictor is much richer but more correlated/redundant,CONFIRMED
C-008,Normalization,"hand-defined percent/ratio/binary values compared with GA gene limits","same","per-feature train-only empirical quantile bands plus GA q_low/q_high",Range predictor is cross-price-scale robust,CONFIRMED
C-009,Per-entity adaptation,"each Rulebook evolves its own min/max gate genes","same plus max_holding_days 1..3","each PredictorIndividual evolves feature selection, quantile bands, weights and softness",Both are per-individual; mechanisms differ,CONFIRMED
C-010,Lookahead discipline,"D-5..D-1 only; explicitly forbids D-day High/Low/Close","same","core lag features D-5..D-1, but historical full set also included D0 stock/ETF open gap",Pure five-day use requires excluding D0 gap rows,CONFIRMED
C-011,Optional external data,"none in core path5","same","market ETF, news history, optional flow/orderbook fields",Range predictor reproducibility depends on external feature availability,CONFIRMED
C-012,Feature count,"15 returned path5 values including intermediates/vector plus 2 auxiliary","same","25 raw lag features + roughly 65 Stage2 lag members + D1/aggregate/optional families",Range predictor has much higher overfit risk,CONFIRMED
C-013,Direct gateability,"simple deterministic pass/fail reasons per feature","same","GA vote/quantile model output required",Path filter is easier to audit live,CONFIRMED
C-014,Jump-selection suitability,"[추정] strong for excluding stale highs, excessive pullback, turn-down and surge-fade patterns","[추정] same feature suitability; hold3 affects exit not signal feature","[추정] better for identifying jump precursors because it includes daily range, gap, volume, candle shape and volatility normalization","For '튐 선별', range predictor feature set is richer; path filter is safer and more interpretable",INFERRED
C-015,Recommended minimal jump subset,"close_pos5, pullback_from_high5_pct, days_since_high5, daily_rets, fade_after_surge_score","same","add STK_lag1..5_range, gap, volratio20, D1_range_vs_ATR, D1_volratio5, D1 candle morphology","[추정] combine compact path shape with selected normalized volatility/volume fields rather than all predictor fields",INFERRED
C-016,Historical validation state,"runner exists but learned manifest/survivors NOT_STORED","same","large-range q70 final survivors=0; other target variants mixed",Neither feature set alone is validated for current live gating,CONFIRMED
