topic,verdict,status,evidence,implication
current_pool_reduction,"10 -> 5 by q<45 alone",INFERRED_CURRENT_REPLAY,"ADMA CRS ARKW BTU BB blocked; ALGT AEIS CBRL BN ACMR retained",50% pool reduction in current snapshot
additional_drop_after_event_v3_boil,"ADMA CRS ARKW BB",CONFIRMED_CROSS_SECTION_PLUS_INFERRED_Q,"all four were Event OFF SURVIVE and v3/BOIL PASS in 2026-07-11 artifacts but current q<45 replay blocks them",q adds a distinct and aggressive filter
crs_first_signal,"q=31",PARTIALLY_RECOVERED,"prior CRS 5d forensics replay using recovered price and reconstructed OHLCV",would have blocked CRS at candidate selection
shadow_duplicate,"same function would run again at OPEN",CONFIRMED,"engine/live/elite_shadow_trader.py calls assess_shadow_entry_quality before OPEN",selection and OPEN checks are logically duplicate if inputs unchanged
shadow_time_drift,"q can change between selection and OPEN",CONFIRMED_DESIGN_INFERENCE,"q uses current price and latest OHLCV",keeping both can yield selection pass then OPEN block or selection block that never gets a later chance
one_gate_only,"prefer one authoritative gate if ever promoted",INFERRED_RECOMMENDATION,"duplicate evaluation adds inconsistent snapshots without proven benefit",candidate-stage hard block would make shadow q redundant except as audit/size-only marker
q45_good_trades,"q<45 group contains many profitable trades",CONFIRMED_APPROX_OOS,"25,547 q<45 rows; 14,360 positive; 8,551 >5%; avg net +1.6765%; median +1.5272%",high false-negative risk
q45_extreme_winners,"AMSC +116.5%, CAR +90.7%, CAN +90.5% among q<45 approximate rows",CONFIRMED_APPROX_OOS,"data/_system/analysis/eq_validity_20260708/eq_trade_labels_approx.csv",q<45 is not a clean loser separator
portfolio_effect,"allow-only worsened CAGR/MDD/Sharpe",CONFIRMED_APPROX_OOS,"CAGR 72.27->59.04; MDD -21.96->-25.64; Sharpe 1.842->1.778",migration not supported by existing evidence
statistical_support,"ALLOW avg net not superior",CONFIRMED_APPROX_OOS,"allow-block avg net difference -0.05535pp; 95% CI includes zero; permutation p=0.82084",no demonstrated predictive edge
reproducibility,"exact historical q unavailable",CONFIRMED,"historical intraday price, reasons, event/news payload not fully stored",all OOS conclusions are approximate
sample_limit,"current pool n=10; 2026-07-11 cross-gate overlap n=9 because BTU absent",CONFIRMED,"snapshot-specific and non-independent",cannot generalize from current pool alone
final_verdict,"추가검증 필요",RECOMMENDATION,"existing approximate OOS is adverse and exact replay absent",do not migrate q<45 into candidate selection now
